policy,ratio,round,subset,n,mse,mae,pred_mean,label_mean,pred_abs_mean,label_abs_mean,pred_std,label_std,same_sign_rate,pred_close_frac,label_close_frac
noise80_r4,noise80,4,gripper_dim_6,2000,0.0328080989420414,0.0580560527741909,-0.653389036655426,-0.6390580534934998,0.9585515260696411,0.9855034947395325,0.7043188810348511,0.7515921592712402,0.9905,0.165,0.1745
noise80_r4,noise80,4,gripper_dim_13,2000,0.03358684480190277,0.05971553921699524,-0.6568045020103455,-0.6386795043945312,0.9577652812004089,0.9851123094558716,0.700221598148346,0.7517049312591553,0.9905,0.165,0.1745
noise80_r4,noise80,4,source=dagger_round_1,400,0.004891982767730951,0.016306595876812935,-0.07602150738239288,-0.07453873008489609,0.17402370274066925,0.17781710624694824,0.3738732635974884,0.38834133744239807,,,
noise80_r4,noise80,4,source=dagger_round_2,400,0.00500073516741395,0.017654215916991234,-0.07766952365636826,-0.07751293480396271,0.17467238008975983,0.17952503263950348,0.37288475036621094,0.38896703720092773,,,
noise80_r4,noise80,4,source=dagger_round_3,400,0.007936057634651661,0.020374923944473267,-0.0751972422003746,-0.07399672269821167,0.17414319515228271,0.1792769879102707,0.3723093271255493,0.3890516757965088,,,
noise80_r4,noise80,4,source=dagger_round_4,400,0.007467425428330898,0.022173238918185234,-0.08154080808162689,-0.07813933491706848,0.1708824187517166,0.17949366569519043,0.36792469024658203,0.3881610929965973,,,
noise80_r4,noise80,4,source=noisy,400,0.023417778313159943,0.1137082576751709,-0.11620215326547623,-0.10649190843105316,0.17830891907215118,0.25165221095085144,0.35429197549819946,0.3781902492046356,,,
noise100_r3,noise100,3,all,2000,0.009681434370577335,0.0425901897251606,-0.07355912029743195,-0.07363306730985641,0.177132248878479,0.20135056972503662,0.36997729539871216,0.39220866560935974,,,
noise100_r3,noise100,3,arm_xyz,2000,0.007744970731437206,0.042388468980789185,0.030938072130084038,0.030579226091504097,0.07902377098798752,0.09893908351659775,0.1776992678642273,0.2000100165605545,,,
noise100_r3,noise100,3,arm_rot,2000,0.005510661285370588,0.03469815477728844,-0.00438306899741292,-0.001908809645101428,0.020583756268024445,0.04371804744005203,0.05364632606506348,0.09271474927663803,,,
noise100_r3,noise100,3,z,2000,0.012404403649270535,0.05327159911394119,0.030293330550193787,0.030438316985964775,0.1064300388097763,0.1323644369840622,0.2397826611995697,0.26937776803970337,,,
noise100_r3,noise100,3,gripper,2000,0.02800314873456955,0.06687144935131073,-0.5945788025856018,-0.6014427542686462,0.9411031603813171,0.9814825654029846,0.7322848439216614,0.7774295210838318,,,
noise100_r3,noise100,3,gripper_dim_6,2000,0.02809673361480236,0.06662078946828842,-0.5955299139022827,-0.6012460589408875,0.942159116268158,0.9802612066268921,0.7328731417655945,0.7761917114257812,0.9925,0.186,0.1935
noise100_r3,noise100,3,gripper_dim_13,2000,0.027909565716981888,0.06712211668491364,-0.5936276912689209,-0.6016393899917603,0.9400472640991211,0.9827038645744324,0.7316948771476746,0.7786655426025391,0.9925,0.186,0.1935
noise100_r3,noise100,3,source=dagger_round_1,500,0.003969728946685791,0.016019638627767563,-0.07200576364994049,-0.0741477683186531,0.1737636774778366,0.17828784883022308,0.37285736203193665,0.38878679275512695,,,
noise100_r3,noise100,3,source=dagger_round_2,500,0.006348159164190292,0.019710475578904152,-0.07961945235729218,-0.07940638065338135,0.17829181253910065,0.18405365943908691,0.3717150390148163,0.39226582646369934,,,
noise100_r3,noise100,3,source=dagger_round_3,500,0.004586854018270969,0.019347533583641052,-0.07414664328098297,-0.07618263363838196,0.17859356105327606,0.18377068638801575,0.3746885061264038,0.3917485177516937,,,
noise100_r3,noise100,3,source=noisy,500,0.023820996284484863,0.11528310179710388,-0.06846459209918976,-0.06479549407958984,0.1778799593448639,0.25929009914398193,0.36039039492607117,0.39585080742836,,,
